"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"81","G03 vs G04",1,0.410750149941162,2.54187761438855,0.163550227164014,0.035,0.0561458333333333,""
"82","G03 vs G22",1,0.694595364122614,3.02781861023633,0.502307518858405,0.1,0.11608040201005,""
"83","G03 vs G12",1,1.54487335630878,6.43554443439767,0.28684592224697,0.001,0.00607894736842105,"*"
"84","G03 vs G10",1,0.396454871335212,1.73670179074902,0.302735239532517,0.1,0.11608040201005,""
"85","G03 vs G16",1,0.650207244408463,3.54852349244055,0.261912192455544,0.011,0.0267473684210526,"."
"86","G03 vs G17",1,1.96266551211095,13.2617693875729,0.376094836359706,0.001,0.00607894736842105,"*"
"87","G03 vs G14",1,1.08808206396487,7.98586072565924,0.666273445724525,0.1,0.11608040201005,""
"88","G03 vs G06",1,1.10398088749664,6.58332665880417,0.622047005733076,0.1,0.11608040201005,""
"89","G03 vs G13",1,0.969373545493486,4.02713254730614,0.501690052278709,0.1,0.11608040201005,""
"90","G03 vs G19",1,0.846406606327588,2.66249780325683,0.169991902741285,0.001,0.00607894736842105,"*"
"91","G03 vs G21",1,0.538307733704656,1.8633325019435,0.271490926807911,0.086,0.1155,""
"92","G03 vs G20",1,0.78838547739094,2.54800393841627,0.337573212627509,0.03,0.0509558823529412,""
"93","G03 vs G15",1,0.573751543370891,2.72985518264185,0.353157351352715,0.053,0.077,""
"94","G03 vs G18",1,0.726881548430741,3.26763424104986,0.521350499307776,0.1,0.11608040201005,""
"95","G03 vs G05",1,0.595170166118456,4.90622607521874,0.620552211452289,0.1,0.11608040201005,""
"96","G07 vs G08",1,0.635220203116977,1.96380686679087,0.151483810810351,0.039,0.0617054794520548,""
"97","G07 vs G04",1,1.24183925419841,5.15155037944542,0.222514272047159,0.001,0.00607894736842105,"*"
"98","G07 vs G22",1,0.5989526522752,1.63726283549019,0.169888781019939,0.022,0.0413170731707317,"."
"99","G07 vs G12",1,2.11274925833865,7.29823327940459,0.257904202263971,0.001,0.00607894736842105,"*"
"100","G07 vs G10",1,0.608549701488931,1.73787899217792,0.161845648795622,0.043,0.06622,""
"101","G07 vs G16",1,1.21927470602398,4.49284339692224,0.230486815362792,0.001,0.00607894736842105,"*"
"102","G07 vs G17",1,2.86892416065182,14.0985118319153,0.343041905983735,0.001,0.00607894736842105,"*"
"103","G07 vs G14",1,1.06726089828345,3.45094631528452,0.277163376011686,0.008,0.0222650602409639,"."
"104","G07 vs G06",1,1.10358902312201,3.41414159157445,0.275020352103253,0.001,0.00607894736842105,"*"
"105","G07 vs G13",1,0.897925386669152,2.52444200016324,0.219051126304205,0.009,0.023625,"."
